persona_id,alpha
P001,1.0504170493269907e-08
P002,1.9679539770642295e-06
P003,0.17663337360856854
P004,1.6567518740118683e-07
P005,7.361204723797472e-08
P006,4.068310360312179e-08
P007,2.567271183547114e-07
P008,4.8112050661694367e-08
P009,4.4359763750969824e-08
P010,1.0154309976135662e-07
P011,4.573494693983134e-08
P012,0.28252763960627075
P013,9.594603089352547e-08
P014,1.56589403113753e-07
P015,0.012123401983544205
P016,6.965200744200976e-08
P017,2.7401989461024875e-08
P018,0.05564055549500036
P019,3.790266767779974e-08
P020,5.177500129972863e-08
P021,4.125211686071036e-08
P022,0.2859668293693703
P023,4.807453933094655e-08
P024,3.6565851254191935e-07
P025,4.838678232419292e-08
P026,1.2729245923076835e-08
P027,2.8080079454147186e-08
P028,2.2411416529177708e-08
P029,2.526530291132676e-08
P030,9.02979308487981e-08
P031,6.754746728934806e-08
P032,4.965168926240122e-08
P033,2.749447812015878e-07
P034,3.03557662165511e-08
P035,1.6605250510338232e-07
P036,0.09115419539820176
P037,1.287851123100832e-08
P038,0.09594874122402708
P039,3.538761191744442e-08
P040,9.910699062174877e-09
P041,4.350975728000534e-08
P042,6.026001723924976e-08
P043,2.2819212618366e-08
P044,2.64308367102235e-08
P045,1.4992564419325376e-07
P046,2.7312805132535108e-08
P047,1.1209196614496457e-07
P048,2.70826797218282e-08
P049,4.945285077505852e-08
P050,3.502398943315719e-08
DUMMY_NO_BUY,1.8634773458753605e-07
