persona_id,alpha
P001,0.0
P002,2.055662679862284e-10
P003,0.0
P004,1.6551427327153619e-10
P005,0.0
P006,0.0
P007,4.678490558396154e-10
P008,0.0
P009,7.299458774912037e-11
P010,1.9355525616018513e-10
P011,4.1088068010779586e-10
P012,3.548518166901923e-10
P013,0.0996289933750367
P014,0.0
P015,0.0
P016,1.0011837994737473e-10
P017,0.0
P018,0.0
P019,0.4630058897189609
P020,0.0
P021,3.561540343854323e-10
P022,0.36082963855385514
P023,0.0
P024,0.0
P025,3.2891401707551905e-10
P026,1.08082326254568e-10
P027,0.0
P028,2.609791153603329e-11
P029,5.4123398378660214e-11
P030,2.1191071663149777e-10
P031,0.0
P032,0.0
P033,3.1597593779724216e-10
P034,0.0
P035,0.0
P036,3.1423885847219444e-10
P037,0.0
P038,9.947586348330846e-12
P039,0.0
P040,9.492901071111947e-11
P041,0.07653547361694413
P042,3.722887619309199e-11
P043,0.0
P044,0.0
P045,0.0
P046,0.0
P047,3.3236023213958936e-11
P048,0.0
P049,2.246424710386947e-10
P050,1.4159423711885015e-10
DUMMY_NO_BUY,5.067973150397105e-10
